pincode,city,latitude,longitude,state
411033,Pune,NA,NA,
412105,Pune,18.840502999999998,73.907190999999997,
412401,Pune,18.3677000,73.7739500,
412406,Pune,18.5597834,74.3733882,
413102,Pune,18.2071500,74.5882000,
413102,Pune,18.1436770,74.5623530,
413102,Pune,18.1390681,74.5760946,
412410,Pune,19.0807180,74.1533560,
413105,Pune,18.1865780,74.7919250,
413105,Pune,18.4630636,74.5788809,
413130,Pune,18.2417500,74.7086200,
413130,Pune,18.2809680,74.6524570,
412206,Pune,18.1458279,73.8429767,
412206,Pune,18.1152400,73.8576500,
412206,Pune,18.1137051,73.7939413,
412206,Pune,18.0757390,73.7301330,
412206,Pune,18.1515968,73.8441511,
412206,Pune,18.1458279,73.8429767,
412206,Pune,18.0446770,73.8036750,
410501,Pune,18.7395660,73.9154070,
410501,Pune,18.9057010,73.6124100,
410501,Pune,18.7654590,73.9168400,
410501,Pune,18.7637610,73.8603310,
410501,Pune,18.8009220,73.8918900,
410501,Pune,18.7295340,73.8190130,
413801,Pune,18.446819999999999,74.646266999999995,
413801,Pune,18.457878000000001,74.531700999999998,
413801,Pune,18.447676000000001,74.563508999999996,
413801,Pune,18.463066600000001,74.578877899999995,
412101,Pune,18.652252000000001,73.741901999999996,
412109,Pune,18.756878,73.754210999999998,
410509,Pune,19.1123254,73.7301241,
410509,Pune,19.0713780,73.6918810,
410509,Pune,19.1740500,73.6477340,
412408,Pune,19.1008620,73.8272030,
412408,Pune,19.0284770,73.7919100,
411025,Pune,18.400221999999999,73.732339999999994,
412303,Pune,18.3139630,74.1309690,
412303,Pune,18.2739770,74.2461780,
410502,Pune,19.2099110,73.7727910,
410502,Pune,19.2397890,73.9155940,
410502,Pune,19.2230540,73.7194760,
410502,Pune,19.1691480,73.8212150,
412404,Pune,18.9354050,73.7345460,
410515,Pune,19.0412940,73.9147590,
410405,Pune,18.81043,73.534013999999999,
412203,Pune,18.529252,74.336752000000004,
412205,Pune,18.3236000,73.8807500,
412205,Pune,18.1489350,74.0314810,
412216,Pune,18.577179999999998,74.234449999999995,
412216,Pune,18.628729,74.03295,
412216,Pune,18.607600999999999,74.088757999999999,
410401,Pune,18.826000000000001,73.394300000000001,
410510,Pune,18.9028010,74.1328050,
412201,Pune,18.666715,73.899985000000001,
412219,Pune,18.392807999999999,74.481870000000001,
412218,Pune,18.849896999999999,74.259382000000002,
412218,Pune,18.815114999999999,74.153356000000002,
412218,Pune,18.825894399999999,74.3792677,
412218,Pune,18.896450000000002,74.221100000000007,
410503,Pune,19.0261250,73.9109980,
412213,Pune,18.1458299,73.8429747,
412213,Pune,18.2513970,73.7330750,
412211,Pune,18.548915999999998,74.571225999999996,
412211,Pune,18.563578,74.434262000000004,
413120,Pune,18.1130700,75.0269570,
412102,Pune,18.1447600,74.2444500,
412409,Pune,19.2800100,73.9941500,
412409,Pune,19.3403190,73.7988960,
412409,Pune,19.2092870,73.9154070,
412409,Pune,19.2506975,73.9481334,
412409,Pune,19.2092880,73.8725810,
413132,Pune,18.1544441,74.9716275,
413110,Pune,18.1500070,74.5832930,
412108,Pune,18.547805499999999,73.536038199999993,
412108,Pune,18.525473999999999,73.523522,
412108,Pune,18.530809999999999,73.559229000000002,
412308,Pune,18.456310999999999,73.956383000000002,
412412,Pune,18.3802500,74.3646000,
412115,Pune,18.503050000000002,73.867350000000002,
412104,Pune,18.4073086,74.2333305,
410505,Pune,18.9441950,73.6079940,
412301,Pune,18.3424500,74.0275500,
412301,Pune,18.3503210,73.9286340,
412301,Pune,18.7694810,74.1299340,
412301,Pune,18.3424500,74.0275500,
412301,Pune,18.2611306,74.0557086,
412301,Pune,18.5204363,73.8567377,
412301,Pune,18.3736904,74.0667232,
412210,Pune,18.825896400000001,74.379265700000005,
412210,Pune,18.629197999999999,74.469414999999998,
412306,Pune,18.1356720,74.2678170,
412306,Pune,18.0667760,74.3052290,
412204,Pune,18.2734420,74.3773750,
412204,Pune,18.341875000000002,74.429186000000001,
412208,Pune,18.622166,74.121655000000004,
410507,Pune,18.792549999999999,73.687200000000004,
412202,Pune,18.512094999999999,74.118122999999997,
412402,Pune,18.8405070,73.9071870,
412402,Pune,18.8405070,73.9071870,
412106,Pune,18.756283700000001,73.456316999999999,
412106,Pune,18.699999999999999,73.599999999999994,
412106,Pune,18.727736799999999,73.654434199999997,
412106,Pune,18.727735800000001,73.654435199999995,
412207,Pune,18.545833200000001,74.209119999999999,
412207,Pune,18.463063600000002,74.578880900000001,
412207,Pune,18.463060599999999,74.578883899999994,
412305,Pune,18.1893759,74.1181184,
412305,Pune,18.2354602,74.1181164,
413114,Pune,18.0221210,74.7774300,
413114,Pune,18.1130740,75.0269530,
412214,Pune,18.485367,74.226025000000007,
160101,Chandigarh,30.6920510,76.6984100,
160102,Chandigarh,30.6920510,76.6984100,
160014,Chandigarh,30.692050999999999,76.698409999999996,
160047,Chandigarh,30.6920510,76.6984100,
302038,Jaipur,27.0727740,75.9356170,
302026,Jaipur,26.8367550,75.6997470,
302027,Jaipur,25.7282910,76.2328360,
302027,Jaipur,25.7282830,76.2329880,
302027,Jaipur,26.9879740,75.9376150,
303305,Jaipur,NA,NA,
303305,Jaipur,20.5401400,73.1792120,
303305,Jaipur,NA,NA,
303305,Jaipur,NA,NA,
303301,Jaipur,NA,NA,
303301,Jaipur,NA,NA,
303012,Jaipur,26.8032130,75.9900710,
303604,Jaipur,26.0140000,75.1010000,
303328,Jaipur,NA,NA,
303604,Jaipur,26.0140000,75.1010000,
303604,Jaipur,26.0140000,75.1010000,
303602,Jaipur,26.0140000,75.1010000,
303602,Jaipur,26.0140000,75.1010000,
303007,Jaipur,26.7325910,76.1522880,
303007,Jaipur,26.7391590,76.1236050,
303901,Jaipur,NA,NA,
303901,Jaipur,NA,NA,
303901,Jaipur,NA,NA,
303901,Jaipur,NA,NA,
303901,Jaipur,26.5165210,75.8388700,
303904,Jaipur,26.8899680,75.7277330,
303904,Jaipur,NA,NA,
303008,Jaipur,NA,NA,
303008,Jaipur,26.5709670,75.3577720,
303008,Jaipur,18.1792800,98.2431750,
303328,Jaipur,27.0623590,75.2285480,
303328,Jaipur,34.0009520,72.8884700,
303328,Jaipur,26.6505190,75.0414010,
303124,Jaipur,26.9776020,75.7639190,
303006,Jaipur,26.5392670,75.6898930,
303006,Jaipur,27.6000000,74.2000000,
303009,Jaipur,24.8099180,71.7785590,
303009,Jaipur,26.3414920,73.0463400,
303005,Jaipur,31.7081650,76.9313670,
303005,Jaipur,25.9522770,76.2160450,
303603,Jaipur,27.1786380,75.4533760,
303903,Jaipur,26.6909970,75.9666440,
303903,Jaipur,26.5261390,75.9666450,
303903,Jaipur,26.9776020,75.7639190,
302029,Jaipur,27.7259460,75.2139080,
303905,Jaipur,26.8237670,75.7400560,
303103,Jaipur,33.6475470,73.5086120,
303103,Jaipur,27.0004870,76.8922760,
303002,Jaipur,27.1105700,75.9626560,
303601,Jaipur,27.3102270,75.8439540,
303001,Jaipur,30.1200000,78.7400000,
303119,Jaipur,27.5063940,76.0536960,
303702,Jaipur,26.7391590,76.1236050,
303804,Jaipur,26.7614110,75.8780850,
303804,Jaipur,22.3033190,73.2002290,
303804,Jaipur,26.7391590,76.1236050,
303120,Jaipur,27.1610430,76.0536960,
303120,Jaipur,26.7391590,76.1236050,
303120,Jaipur,26.7325910,76.1522880,
303712,Jaipur,27.1241490,75.7553190,
303712,Jaipur,27.0529220,75.9601130,
303701,Jaipur,27.0771820,75.5418630,
303704,Jaipur,27.1241490,75.7553190,
303704,Jaipur,28.2686440,76.6513790,
303109,Jaipur,24.6871080,86.5548690,
303109,Jaipur,28.0510030,73.4813640,
303801,Jaipur,26.5821130,78.5348510,
303108,Jaipur,27.8005040,76.1985160,
303108,Jaipur,27.7553830,74.3916690,
303108,Jaipur,27.6591920,76.1145990,
303108,Jaipur,27.7354750,76.2294450,
303108,Jaipur,27.6685880,76.2073530,
303108,Jaipur,27.7985360,76.2421190,
303108,Jaipur,NA,NA,
303003,Jaipur,NA,NA,
303003,Jaipur,NA,NA,
303003,Jaipur,NA,NA,
303003,Jaipur,NA,NA,
303105,Jaipur,NA,NA,
303105,Jaipur,NA,NA,
303105,Jaipur,NA,NA,
303105,Jaipur,NA,NA,
303107,Jaipur,NA,NA,
303110,Jaipur,NA,NA,
303110,Jaipur,NA,NA,
303806,Jaipur,NA,NA,
700105,Kolkata,22.314360199999999,88.258561999999998,
226003,Lucknow,26.8535270,80.9121430,
226201,Lucknow,26.9912950,80.9204060,
226201,Lucknow,26.9912950,80.9204060,
226201,Lucknow,26.9493100,80.8696040,
226201,Lucknow,27.0186580,80.8481580,
226401,Lucknow,26.8486740,81.0604120,
226028,Lucknow,26.8671700,81.0029780,
226501,Lucknow,26.7673510,81.1076210,
226203,Lucknow,27.1459810,80.9140900,
226203,Lucknow,27.0626490,80.8995150,
226203,Lucknow,27.0808220,80.8958840,
226203,Lucknow,27.0899020,80.8882590,
226101,Lucknow,26.8572770,80.7560830,
226101,Lucknow,26.9044460,80.7654170,
226102,Lucknow,26.9569200,80.7429470,
226104,Lucknow,29.1753520,82.1770100,
226104,Lucknow,26.8582250,80.9763260,
226104,Lucknow,27.0943530,80.7463850,
226104,Lucknow,26.8447000,80.9456260,
226104,Lucknow,26.8447000,80.9456260,
226104,Lucknow,26.8447000,80.9456260,
226301,Lucknow,26.6895220,80.9843450,
226301,Lucknow,26.6818270,80.9823340,
226301,Lucknow,26.7308530,80.9580600,
226301,Lucknow,26.6895220,80.9843450,
226301,Lucknow,27.3826990,80.7020360,
226303,Lucknow,26.9976700,80.8059410,
226303,Lucknow,26.6580770,81.0922820,
226303,Lucknow,26.6189790,81.1402900,
226302,Lucknow,26.7482590,80.6299170,
226008,Lucknow,26.8091470,80.8460820,
226002,Lucknow,26.9692930,81.0041080,
226002,Lucknow,26.7813740,80.9584680,
226013,Lucknow,26.9307100,80.9293950,
226026,Lucknow,26.9062580,80.9484750,
462030,Bhopal,23.2909722,77.3367500,
462001,Bhopal,23.2775278,77.4154722,
462001,Bhopal,23.2591667,77.3931944,
462001,Bhopal,23.2618056,77.3993056,
462100,Bhopal,23.2885100,77.3941700,
462041,Bhopal,23.1400000,77.5300000,
462024,Bhopal,23.2100000,77.4435000,
462016,Bhopal,23.2400000,77.4000000,
462003,Bhopal,23.2334200,77.4200000,
462003,Bhopal,23.2260278,77.4088611,
462002,Bhopal,23.2400000,77.4000000,
462040,Bhopal,23.2400000,77.4500000,
462020,Bhopal,23.2000000,77.4500000,
462042,Bhopal,23.132,77.4067,
452013,Indore,22.6693611,75.8135000,
452001,Indore,22.7094722,75.8920556,
453771,Indore,22.3889000,75.7431000,
453555,Indore,22.7078056,75.8791667,
452010,Indore,22.7560833,75.8752222,
452003,Indore,22.7430556,75.8723889,
452010,Indore,22.7603056,75.8863333,
400009,Mumbai,18.9505278,72.8408333,
400014,Mumbai,19.0048420,72.8460090,
400070,Mumbai,19.068833,72.877783,
400022,Mumbai,19.0355280,72.8668020,
400022,Mumbai,19.044426,72.863721,
400051,Mumbai,19.0580900,72.8552560,
400057,Mumbai,19.1034444,72.8516111,
400099,Mumbai,19.0950000,72.8658333,
400049,Mumbai,19.1110420485732,72.8254034506658,
400052,Mumbai,19.0700185781718,72.8348624934688,
400051,Mumbai,19.0615556,72.8431389,
400059,Mumbai,19.1161667,72.8826111,
400069,Mumbai,19.1226389,72.8512778,
400054,Mumbai,19.0925278,72.8396111,
400055,Mumbai,19.0809937869993,72.8426246675505,
400054,Mumbai,19.0824084172353,72.8342982982535,
400084,Mumbai,19.097937,72.904307,
400075,Mumbai,19.0843611,72.9180556,
400089,Mumbai,19.0634722,72.9016944,
400043,Mumbai,19.0531944,72.9253889,
400078,Mumbai,19.1506111,72.9331111,
400083,Mumbai,19.1143889,72.9397778,
400082,Mumbai,19.1754167,72.9386389,
400080,Mumbai,19.1766667,72.9516667,
400081,Mumbai,19.1672629,72.9575656,
400080,Mumbai,19.1143888,72.9331111,
400087,Mumbai,19.1347854,72.8997298,
400079,Mumbai,19.1023333,72.9180278,
400083,Mumbai,19.119471,72.935168,
400067,Mumbai,19.2133056,72.8246944,
400066,Mumbai,19.2354719,72.8566650,
400102,Mumbai,19.1469444,72.8573333,
400097,Mumbai,19.1842841,72.8517183,
400004,Mumbai,18.955756,72.824274,
400004,Mumbai,18.9547500,72.8271667,
400020,Mumbai,18.9449071,72.8282962,
400025,Mumbai,19.0105833,72.8285278,
400028,Mumbai,19.0207778,72.8406944,
400028,Mumbai,19.0236200,72.8346830,
400018,Mumbai,19.0160556,72.8182222,
400030,Mumbai,19.0168889,72.8170278,
400011,Mumbai,18.9768889,72.8242778,
400011,Mumbai,18.9881111,72.8318889,
400011,Mumbai,18.9769167,72.8243056,
400007,Mumbai,18.9598889,72.8155000,
400005,Mumbai,18.9011111,72.8117500,
400020,Mumbai,18.9285278,72.8265556,
400614,Thane,19.0739722,73.0611389,
400706,Thane,19.0400278,73.0202500,
400705,Thane,19.06409,73.010679,
400703,Thane,19.073085,72.987771,
421506,Thane,19.1881944,73.1914444,
421002,Thane,19.2380278,73.1588611,
421301,Thane,19.2373611,73.1317778,
421306,Thane,19.2276667,73.1412500,
421503,Thane,19.1632778,73.2399722,
421201,Thane,19.2072777,73.1827500,
421005,Thane,19.1986389,73.1608889,
400608,Thane,19.2009722,72.9697778,
421302,Thane,19.2977778,73.1482500,
400615,Thane,19.2722778,72.9616944,
400603,Thane,19.1821111,72.9758333,
421101,Thane,19.3665278,73.1746389,
400607,Thane,19.2385833,72.9935833,
440003,Nagpur,21.12283333,79.08502778,
440014,Nagpur,21.17947222,79.08972222,
440003,Nagpur,NA,NA,
440034,Nagpur,21.09908333,79.12216667,
440018,Nagpur,21.15736111,79.09708333,
440026,Nagpur,21.19238889,79.10386111,
440013,Nagpur,21.17966667,79.055,
440001,Nagpur,NA,NA,
440013,Nagpur,21.17033333,79.06975,
440010,Nagpur,21.14130556,79.06263889,
440030,Nagpur,21.1521944,79.0691667,
440012,Nagpur,21.15075,79.09941667,
440001,Nagpur,NA,NA,
440006,Nagpur,21.16488889,79.05241667,
440025,Nagpur,NA,NA,
440021,Nagpur,21.1292570,79.0489690,
440023,Nagpur,21.1521944,79.0691667,
441201,Nagpur,20.7647240,79.5195940,
441112,Nagpur,21.4609444,78.8750556,
441101,Nagpur,20.9199270,78.9500370,
441102,Nagpur,21.2791170,79.1153060,
441103,Nagpur,21.1391667,78.6335833,
441214,Nagpur,21.1521944,79.0691667,
441204,Nagpur,20.8471667,79.3227222,
411001,Pune,18.47558333,73.79619444,
411028,Pune,NA,NA,
411013,Pune,18.507744,73.917306,
411047,Pune,18.59755556,73.92691667,
411001,Pune,NA,NA,
411001,Pune,18.51152778,73.88030556,
411001,Pune,18.51394444,73.87658333,
411037,Pune,18.82722222,73.87294444,
411027,Pune,18.57522222,73.82161111,
411014,Pune,18.54363889,73.92511111,
411006,Pune,18.56025,73.89202778,
411057,Pune,31.0777070,74.4891960,
411051,Pune,18.47945,73.82996,
411002,Pune,18.5140278,73.8536389,
411038,Pune,18.5093333,73.7912222,
411005,Pune,18.5231944,73.8536944,
411042,Pune,18.5105833,73.8601111,
411052,Pune,18.4876944,73.8163056,
411024,Pune,18.4452222,73.7858056,
411002,Pune,18.5150170,73.8709970,
411030,Pune,18.5153888,73.8567777,
411030,Pune,18.5148520,73.8489870,
411016,Pune,18.5317500,73.8278889,
411005,Pune,18.527388,73.850553,
411071,Pune,18.516702,73.772024,
412406,Pune,18.962952,74.004109,
411025,Pune,18.2646100,78.3994600,
412303,Pune,18.2751944,74.1629444,
410403,Pune,18.760134,73.41495,
410301,Pune,18.758242,73.374866,
412219,Pune,18.4343816,74.4673550,
413802,Pune,18.395054999999999,74.539505000000005,
413120,Pune,18.0833330,74.9166670,
412101,Pune,18.6797778,73.7398333,
413110,Pune,18.138938,74.465169000000003,
412412,Pune,19.172738,74.053616,
413801,Pune,18.2043000,72.5243000,
412301,Pune,18.3426944,74.0311389,
412210,Pune,18.825975,74.376005000000006,
